1.459959622980000038e+00,8.464508884461632299e-01,2.136777879463817517e-02,4.163880867821437448e+01,9.805207844399140837e-01,4.765945230152129897e-02,-1.795581687618063471e+00,1.051665455417941430e+00,-2.051531607405733537e-02,6.766674986105884138e+00
-4.670000731160683927e+00,8.819422230830223919e-01,1.650864082534711161e-02,3.835992406719832815e+01,9.796267481447413772e-01,6.587795446255943765e-02,-4.688205342660416441e+00,1.084766583128727424e+00,3.347901877380418667e-02,7.413574250475682526e+00
2.642969834332057033e+01,9.277034652033070428e-01,4.192225081600175346e-02,2.816856377674037049e+01,9.913634706003113806e-01,2.202126277833842127e-02,2.151764725729588434e+01,1.050970519010995252e+00,2.635062038612831503e-02,9.962177621610495137e+00
2.296575170292338086e+01,9.019806938468724056e-01,4.173859457996106220e-02,3.562449876599988130e+01,9.876644836643015957e-01,2.669705597678402598e-02,2.201831986471617597e+01,1.063998214768780315e+00,2.642205224523294302e-02,1.105146956012299242e+01
2.261717948277518175e+01,8.775232660894968229e-01,3.681262125050905470e-02,3.850295544637236134e+01,9.841171630978545748e-01,3.121593895320922546e-02,2.176696157241461194e+01,1.076104615459625879e+00,2.630970772094259197e-02,1.241640315578585252e+01
2.383708919729894049e+01,8.654143094821954429e-01,3.277939553393653671e-02,3.881161370685909873e+01,9.822774906155207209e-01,3.252718617884289842e-02,2.138508854042620655e+01,1.082458225155235931e+00,2.620945256310125426e-02,1.438291314638508211e+01
2.448308074314895677e+01,8.609766143225802137e-01,3.120725686634661517e-02,3.870594725498047950e+01,9.813358777785846643e-01,3.269151908775459747e-02,2.100937764602933910e+01,1.084669949599828875e+00,2.631828645435329087e-02,1.531495258658354786e+01
2.479708089990039355e+01,8.574796288887744922e-01,3.008210093694449472e-02,3.834516645814716895e+01,9.807314770457438158e-01,3.255289661508246196e-02,2.075795811376504574e+01,1.086151962946920513e+00,2.633315661255791751e-02,1.596488880207174077e+01
2.529008598967062937e+01,8.547715517973903943e-01,2.987271201734209569e-02,3.884934639370207066e+01,9.807532373739961118e-01,3.234977631109922647e-02,2.063634806998338433e+01,1.087867144894068661e+00,2.665725624511745134e-02,1.694807653507859868e+01
2.042170415787812843e+01,8.535314623405955148e-01,2.803450424811912423e-02,3.111131643764624144e+01,9.824977196586450745e-01,3.115906966222969227e-02,1.571262186492969626e+01,1.092188097910815170e+00,2.644211634083935489e-02,1.397558460262826863e+01
